전씨	전/NNP+씨/NNB
등은	등/NNB+은/JX
석진강변호사	석진강/NNP+변호사/NNG
등	등/NNB
대리인을	대리인/NNG+을/JKO
통해	통하/VV+아/EC
제출한	제출/NNG+하/XSV+ㄴ/ETM
청구서에서	청구서/NNG+에서/JKB
{검찰이	{/SS+검찰/NNG+이/JKS
12·12에	12/SN+·/SP+12/SN+에/JKB
대해	대하/VV+아/EC
기소유예,	기소/NNG+유예/NNG+,/SP
5·18에	5/SN+·/SP+18/SN+에/JKB
대해	대하/VV+아/EC
[공소권	[/SS+공소/NNG+권/XSN
없음]	없/VA+음/ETN+]/SS
결정을	결정/NNG+을/JKO
각각	각각/MAG
내린	내리/VV+ㄴ/ETM
뒤	뒤/NNG
고소·고발인의	고소/NNG+·/SP+고발인/NNG+의/JKG
불복절차와	불복/NNG+절차/NNG+와/JC
헌법소원	헌법/NNG+소원/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
이미	이미/MAG
이	이/MM
처분이	처분/NNG+이/JKS
확정됐다}면서	확정/NNG+되/XSV+었/EP+다/EC+}/SS+면서/EC
{그럼에도	{/SS+그렇/VA+ㅁ/ETN+에/JKB+도/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
대통령의	대통령/NNG+의/JKG
5·18특별법	5/SN+·/SP+18/SN+특별법/NNG
제정	제정/NNG
지시가	지시/NNG+가/JKS
있자	있/VV+자/EC
검찰이	검찰/NNG+이/JKS
특별수사본부를	특별/XR+수사본부/NNG+를/JKO
구성,	구성/NNG+,/SP
재수사에	재/XPN+수사/NNG+에/JKB
착수한	착수/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
확정된	확정/NNG+되/XSV+ㄴ/ETM
처분을	처분/NNG+을/JKO
뒤집는	뒤집/VV+는/ETM
것으로	것/NNB+으로/JKB
무효}라고	무효/NNG+}/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF

그리하여	그리/MAG+하/XSV+아/EC
그의	그/NP+의/JKG
집안은	집안/NNG+은/JX
전남	전남/NNP
담양군	담양군/NNP
창평으로	창평/NNP+으로/JKB
이주하게	이주/NNG+하/XSV+게/EC
되니,	되/VV+니/EC+,/SP
그가	그/NP+가/JKS
이른바	이른바/MAJ
조선시대	조선/NNP+시대/NNG
풍류의	풍류/NNG+의/JKG
대명사인	대명사/NNG+이/VCP+ㄴ/ETM
이른바	이른바/MAJ
호남가단의	호남가단/NNG+의/JKG
한	한/MM
우뚝한	우뚝/MAG+하/XSA+ㄴ/ETM
봉우리를	봉우리/NNG+를/JKO
차지하게	차지/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
이	이/MM
때문이다.	때문/NNB+이/VCP+다/EF+./SF

역으로	역/NNG+으로/JKB
지는	지/VV+는/ETM
경우도	경우/NNG+도/JX
마찬가지라고	마찬가지/NNG+이/VCP+라고/EC
본다.	보/VV+ㄴ다/EF+./SF

분통이	분통/NNG+이/JKS
터졌지만	터지/VV+었/EP+지만/EC
모든	모든/MM
게	것/NNB+이/JKS
다	다/MAG
이런	이런/MM
식이니	식/NNB+이/VCP+니/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF

"84년	"/SS+84/SN+년/NNB
女子	女子/SH
보좌관과	보좌관/NNG+과/JKB
동침"	동침/NNG+"/SS
부시도	부시/NNP+도/JX
섹스스캔들로	섹스/NNG+스캔들/NNG+로/JKB
곤욕	곤욕/NNG
大選	大選/SH
인기만회전략에	인기/NNG+만회/NNG+전략/NNG+에/JKB
찬물	찬물/NNG
朴英哲	朴英哲/SH
<국제부기자>	</SS+국제부/NNG+기자/NNG+>/SS
마침내	마침내/MAG
부시도	부시/NNP+도/JX
섹스	섹스/NNG
스캔들의	스캔들/NNG+의/JKG
도마위에	도마/NNG+위/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF

아주	아주/MAG
오래된	오래/MAG+되/XSV+ㄴ/ETM
것이군요.	것/NNB+이/VCP+군요/EF+./SF

저……	저/IC+……/SE
영도를	영도/NNP+를/JKO
만나고	만나/VV+고/EC
싶어요.	싶/VX+어요/EF+./SF

