환절기에는	환절기/보통명사+에/부사격조사+는/보조사
일교차가	일교차/보통명사+가/주격조사
심하니	심하/형용사+니/의존적연결어미
특히	특히/일반부사
감기를	감기/보통명사+를/목적격조사
조심하자	조심/보통명사+하/동사파생접미사+자/종결어미+./마침표

나는	나/대명사+는/보조사
종원이가	종원이/보통명사+가/주격조사
박사를	박사/보통명사+를/목적격조사
하기로	하기로/동사+기/명사형전성어미+로/부사격조사
마음을	마음/보통명사+을/목적격조사
먹었다고	먹/동사+었/선어말어미+다고/연결어미
들었다.	들/보조용언+었/선어말어미+다/종결어미+./마침표

사실	사실/일반부사
명언이기	명언/보통명사+이/긍정지정사+기/명사형전성어미
위해서는	위해/동사+서/의존적연결어미+는/보조사
그	그/일반관형사
사람이	사람/보통명사+이/주격조사
우리에게	우리/대명사+에게/부사격조사
하는	하/동사+는/관형형전성어미
말이	말/보통명사+이/주격조사
머릿속에	머릿속/보통명사+에/부사격조사
오래	오래/일반부사
기억되고	기억/보통명사+되/동사파생접미사+고/의존적연결어미
다시	다시/일반부사
생각	생각/보통명사
나야	나/동사+야/의존적연결어미
한다.	한다/동사+./마침표

문제를	문제/보통명사+를/목적격조사
해결하는	해결/보통명사+하/동사파생접미사+는/관형형전성어미
능력도	능력/보통명사+도/보조사
중요하지만	중요/보통명사+하/동사파생접미사+지만/대등연결어미
새로운	새로운/형용사
문제를	문제/보통명사+를/목적격조사
발견하고	발견/보통명사+하/동사파생접미사+고/대등연결어미
왜	왜/일반부사
문제인지	문제/보통명사+인/긍정지정사+지/의존적연결어미
이해하는	이해/보통명사+하/동사파생접미사+는/관형형전성어미
것이	것/일반의존명사+이/주격조사
우선인	우선/보통명사+인/관형형전성어미
것을	것/일반의존명사+을/목적격조사
명심하자	명심/보통명사+하/동사파생접미사+자/종결어미+./마침표

좋아하는	좋아하/동사+는/관형형전성어미
것은	것/일반의존명사+은/보조사
그	그/일반관형사
대상이	대상/보통명사+이/주격조사
나를	나/대명사+를/목적격조사
기쁘게	기쁘/형용사+게/의존적연결어미
해주기를	해/동사+주/보조동사+기/명사형전성어미+를/목적격조사
바라는	바라/동사+는/관형형전성어미
것이고	것/일반의존명사+이/긍정지정사+고/대등적연결어미
사랑하는	사랑/보통명사+하/동사파생접미사+는/관형형전성어미
것은	것/일반의존명사+은/보조사
나로	나/대명사+로/부사격조사
인해	인해/동사
그	그/일반관형사
대상이	대상/보통명사+이/주격조사
기쁘기를	기쁘/형용사+기/명사형전성어미+를/목적격조사
바라는	바라/동사+는/관형형전성어미
것이다.	것/일반의존명사+이/서술격조사+다/종결어미+./마침표
